,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,full_text,full_text_cleaned,scores_sum,sentences,scores
2375,2375,1.0,0.2535,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['via', 'gerberkawasaki', 'got', 'elon', 'upgrad', 'fsd', '3k', 'excit', 'v10', 'begin', 'new', 'era', 'transport', 'impress', 'lane', 'chang', 'today', '10', 'tsla', 'car', 'ev', 'climatechang', 'teslamodel3', 'tsla']",via GerberKawasaki: Got me Elon.  Upgraded to FSD for $3k.  Very excited for V10 and the beginning of a new era in transportation. (Autopilot did some impressive lane changes today on the 10.) $tsla #autonomous #cars #EV #ClimateChange @elonmusk #tesla #TeslaModel3 $tsla,via gerberkawasaki got elon upgrad fsd 3k excit v10 begin new era transport impress lane chang today 10 tsla car ev climatechang teslamodel3 tsla,0.877,"['via GerberKawasaki: Got me Elon.', 'Upgraded to FSD for $3k.', 'Very excited for V10 and the beginning of a new era in transportation.', '(Autopilot did some impressive lane changes today on the 10.)', '$tsla autonomous cars EV ClimateChange tesla TeslaModel3 $tsla']","[0.999, 0.631, 0.998, 0.908, 0.847]"
2376,2376,0.0,0.2582,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['get', 'work', 'tunnel', 'say', 'bizarr', 'vehicl', 'dedic', 'bore', 'compani', 'tunnel', 'need', 'safeti', 'driver', 'fulli', 'system', 'kind', 'domain', 'trivial', 'relat', 'say', 'real', 'road']","@StevePrediletto I get that Autopilot works in tunnels, what I'm saying is that it's bizarre that the vehicles in this dedicated Boring Company tunnel will need a safety driver. A fully autonomous system in that kind of domain is trivial relative to what Tesla says it will do on real roads.",get work tunnel say bizarr vehicl dedic bore compani tunnel need safeti driver fulli system kind domain trivial relat say real road,-0.105,"[""I get that Autopilot works in tunnels, what I'm saying is that it's bizarre that the vehicles in this dedicated Boring Company tunnel will need a safety driver."", 'A fully autonomous system in that kind of domain is trivial relative to what Tesla says it will do on real roads.']","[-1.0, 0.79]"
2377,2377,1.0,0.2366,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['pleas', 'ask', 'love', 'much', 'full', 'self', 'drive', 'technolog', 'complain', 'much', 'super', 'cruis', 'cadillac', 'terribl', 'product', 'sex', 'use']","@MarkGraban @Tweetermeyer Please ask him why he loves Autopilot so much, Tesla's Full Self Driving Autonomous technology, and why does he complain so much about Super Cruise, Cadillac's terrible product? Has he had sex in a Tesla while using Autopilot?",pleas ask love much full self drive technolog complain much super cruis cadillac terribl product sex use,-0.808,"[""Please ask him why he loves Autopilot so much, Tesla's Full Self Driving Autonomous technology, and why does he complain so much about Super Cruise, Cadillac's terrible product?"", 'Has he had sex in a Tesla while using Autopilot?']","[-0.622, -0.995]"
2378,2378,4.0,0.2241,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['except', 'expos', 'vehicl', 'industri', 'avoid', 'danger', 'imposs', 'engin', 'approach']","@Teslarati Except Autopilot---Tesla is exposing Autonomous Vehicle Industry’s avoidably Dangerous and Impossible Engineering Approach
https://t.co/Zp2R3gP2vV",except expos vehicl industri avoid danger imposs engin approach,-0.976,['Except Autopilot---Tesla is exposing Autonomous Vehicle Industry’s avoidably Dangerous and Impossible Engineering Approach'],[-0.976]
2379,2379,0.0,0.268,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['know', 'system', 'design', 'let', 'impli', 'requir', 'constant', 'supervis', 'design', 'permit', 'speed', 'hand', 'eye', 'free', 'peopl', 'comment', 'thread', 'seem', 'believ', 'dead', 'driver']","@Onlymehere9 @HansSchipperijn @MatthewR487 @NuovaRealta @tesla_truth @Tesla We do know, because the system is designed to let them do it. ""Autopilot"" doesn't imply that it requires constant supervision. It's designed to permit speeding hands and eyes free. The people commenting on the thread seem to believe it's autonomous, same as some now dead drivers.",know system design let impli requir constant supervis design permit speed hand eye free peopl comment thread seem believ dead driver,-0.449,"['We do know, because the system is designed to let them do it.', '""Autopilot"" doesn\'t imply that it requires constant supervision.', ""It's designed to permit speeding hands and eyes free."", ""The people commenting on the thread seem to believe it's autonomous, same as some now dead drivers.""]","[-0.886, -0.763, 0.831, -0.979]"
2380,2380,4.0,0.2587,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['first', 'thing', 'new', 'model', '3', 'take', 'road', 'trip', 'north', 'netherland', 'milan', 'itali', 'car', 'drove', '95', 'relax', 'road', 'trip', 'ever', 'thank', 'elon', 'car', 'ev', 'climatechang', 'teslamodel3']","The first thing I did with my new Tesla Model 3 was take a road trip from the north of The Netherlands to Milan Italy. The car drove 95% on autopilot. My most relaxed road trip ever, thanks Tesla/Elon.  #autonomous #cars #EV #ClimateChange @elonmusk #Tesla #TeslaModel3 https://t.co/EOHRbfmKTS",first thing new model 3 take road trip north netherland milan itali car drove 95 relax road trip ever thank elon car ev climatechang teslamodel3,0.989,"['The first thing I did with my new Tesla Model 3 was take a road trip from the north of The Netherlands to Milan Italy.', 'The car drove 95% on autopilot.', 'My most relaxed road trip ever, thanks Tesla/Elon.']","[0.997, 0.972, 0.999]"
2381,2381,2.0,0.4,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['africa', 'via', 'smartciti', 'ai', 'iot', 'robot', 'tech', '5g', 'driverless', 'selfdriv', 'selfdrivingcar', 'startup', 'technolog', 'driverlesscar', 'robot', 'startup', 'transport', 'mobil', 'travel', 'autonomousvehicl', 'car']","#Tesla #Autopilot In #Africa 

https://t.co/2dhBqSPHuQ via @cleantechnica
#autonomous #SmartCity #AI #IoT #Robotics #tech #5G #driverless #selfdriving #SelfDrivingCars #startup #technology #DriverlessCars #Robots #startups #transport #mobility #Travel #autonomousvehicles #cars",africa via smartciti ai iot robot tech 5g driverless selfdriv selfdrivingcar startup technolog driverlesscar robot startup transport mobil travel autonomousvehicl car,0.789,['Tesla Autopilot In Africa via autonomous SmartCity AI IoT Robotics tech 5G driverless selfdriving SelfDrivingCars startup technology DriverlessCars Robots startups transport mobility Travel autonomousvehicles cars'],[0.789]
2382,2382,4.0,0.2167,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['gap', 'accid', 'vs', 'without', 'widen', 'side', 'quarter', 'pass', 'fulli', 'near', 'tsla', 'robotaxi', 'autonomousvehicl']",The gap between accidents with autopilot vs without autopilot is widening as each side quarter pass! Fully autonomous for Tesla is near. $TSLA #robotaxi #AutonomousVehicles https://t.co/GUlWb1qt2T,gap accid vs without widen side quarter pass fulli near tsla robotaxi autonomousvehicl,-0.017,"['The gap between accidents with autopilot vs without autopilot is widening as each side quarter pass!', 'Fully autonomous for Tesla is near.']","[-0.993, 0.96]"
2383,2383,0.0,0.2391,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['although', 'tbc', 'websit', 'state', 'system', 'would', 'use', 'vehicl', 'presum', 'use', 'technolog', 'labanowski', 'said', 'lvcc', 'loop', 'vehicl', 'would', 'actual', 'also', 'human', 'driver', 'addit', 'safeti']","""Although TBC’s website states that the system would use autonomous vehicles, presumably using Tesla’s  Autopilot technology, Labanowski said the LVCC Loop vehicles would actually also have human drivers “for additional safety.”",although tbc websit state system would use vehicl presum use technolog labanowski said lvcc loop vehicl would actual also human driver addit safeti,-0.998,"['""Although TBC’s website states that the system would use autonomous vehicles, presumably using Tesla’s Autopilot technology, Labanowski said the LVCC Loop vehicles would actually also have human drivers “for additional safety.”']",[-0.998]
2384,2384,0.0,0.2628,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['exclus', 'tunnel', 'vs', 'track', 'fear', 'damag', 'loop', 'system', 'las', 'vega', 'plus', 'first', 'imag', 'plan', 'loop', 'station']","Exclusive: It’s tunnels vs tracks as the @lvmonorail fears damage from @elonmusk’s @boringcompany Loop system in Las Vegas. Plus, first images of the planned Loop stations!
https://t.co/GPpZGb47wp https://t.co/Wxq3nxYyhA",exclus tunnel vs track fear damag loop system las vega plus first imag plan loop station,0.992,"['Exclusive: It’s tunnels vs tracks as the fears damage from Loop system in Las Vegas.', 'Plus, first images of the planned Loop stations!']","[0.99, 0.994]"
2385,2385,3.0,0.2435,"drive, full, level, 2, musk, elon, year, call, 5, claim","['right', 'today', 'sent', 'invit', 'sale', 'fremont', 'deliveri', 'center', 'actual', 'say', 'full', 'drive', 'think', 'govern', 'need', 'dont', 'respect', 'usa', 'part', 'pos', 'ceo', 'tsla', 'teslaserviceissu']","Tesla right now, today sent out an invitation for a sale at the Fremont delivery center. They actually say Full Autonomous Drive and Autopilot. I think our government needs a ""I DONT RESPECT THE USA, ANY PART OF IT"" from Tesla's POS CEO.
$tsla @elonmusk #TeslaServiceIssues",right today sent invit sale fremont deliveri center actual say full drive think govern need dont respect usa part pos ceo tsla teslaserviceissu,-0.072,"['Tesla right now, today sent out an invitation for a sale at the Fremont delivery center.', 'They actually say Full Autonomous Drive and Autopilot.', 'I think our government needs a ""I DONT RESPECT THE USA, ANY PART OF IT"" from Tesla\'s POS CEO.', '$tsla TeslaServiceIssues']","[-0.555, 0.628, -1.0, 0.641]"
2386,2386,4.0,0.2787,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['told', 'import', 'duti', 'extrem', 'high', '100', 'even', 'electr', 'car', 'would', 'make', 'car', 'unafford']","@Yashwanthnadal I’m told import duties are extremely high (up to 100%), even for electric cars. This would make our cars unaffordable.",told import duti extrem high 100 even electr car would make car unafford,-0.152,"['I’m told import duties are extremely high (up to 100%), even for electric cars.', 'This would make our cars unaffordable.']","[-0.999, 0.695]"
2387,2387,3.0,0.2571,"drive, full, level, 2, musk, elon, year, call, 5, claim","['car', 'co', 'w', 'version', 'self', 'drive', 'featur', 'ex', 'bmw', '740i', 'benz', 'class', 'sedan', 'g', 'nesi', 'g80', 'etc', 'irrespons', 'exagger', 'effici', 'sale', 'guy', 'tell', 'could', 'save', 'uber', 'use', 'drive', 'drunk']","@ABC Tesla is not the only car co w/a version of self driving or autonomous features. (Ex BMW 740i Benz S class sedans, Génesis G80 etc) Tesla is irresponsibly exaggerating its efficiency. I had a sales guy tell me I could save 💰on Uber by using the autopilot to drive me 🏠 if drunk. https://t.co/3dYLlveUdo",car co w version self drive featur ex bmw 740i benz class sedan g nesi g80 etc irrespons exagger effici sale guy tell could save uber use drive drunk,-0.99,"['Tesla is not the only car co w/a version of self driving or autonomous features.', '(Ex BMW 740i Benz S class sedans, Génesis G80 etc) Tesla is irresponsibly exaggerating its efficiency.', 'I had a sales guy tell me I could save 💰on Uber by using the autopilot to drive me 🏠 if drunk.']","[-0.985, -1.0, -0.985]"
2388,2388,1.0,0.3014,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['gt', '18', 'wheeler', 'alreadi', 'travel', 'multilan', 'citi', 'citi', 'highway', 'pretti', 'sure', 'most', 'fals', 'awar', 'av', '18', 'wheeler', 'system', 'matur', 'say', 'none', 'deploy', 'number', 'greater', 'say', 'waymo', 'car', '9']","&gt; Autonomous 18-wheelers already travel on multilane, city-to-city highways

I'm pretty sure this is mostly false. I'm not aware of any AV 18-wheeler system that's more mature than, say, Tesla autopilot, and none are deployed in numbers greater than say, Waymo cars. 9/",gt 18 wheeler alreadi travel multilan citi citi highway pretti sure most fals awar av 18 wheeler system matur say none deploy number greater say waymo car 9,-0.976,"[""Autonomous 18-wheelers already travel on multilane, city-to-city highways I'm pretty sure this is mostly false."", ""I'm not aware of any AV 18-wheeler system that's more mature than, say, Tesla autopilot, and none are deployed in numbers greater than say, Waymo cars."", '9/']","[-0.999, -1.0, -0.93]"
2389,2389,1.0,0.2303,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['got', 'elon', 'upgrad', 'fsd', '3k', 'excit', 'v10', 'begin', 'new', 'era', 'transport', 'impress', 'lane', 'chang', 'today', '10', 'tsla', 'car', 'ev', 'climatechang', 'teslamodel3']",Got me Elon.  Upgraded to FSD for $3k.  Very excited for V10 and the beginning of a new era in transportation. (Autopilot did some impressive lane changes today on the 10.) $tsla #autonomous #cars #EV #ClimateChange @elonmusk #tesla #TeslaModel3,got elon upgrad fsd 3k excit v10 begin new era transport impress lane chang today 10 tsla car ev climatechang teslamodel3,0.88,"['Got me Elon.', 'Upgraded to FSD for $3k.', 'Very excited for V10 and the beginning of a new era in transportation.', '(Autopilot did some impressive lane changes today on the 10.)', '$tsla autonomous cars EV ClimateChange tesla TeslaModel3']","[1.0, 0.631, 0.998, 0.908, 0.863]"
2390,2390,4.0,0.2276,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['user', 'cours', 'ap', 'would', 'unconscion', 'expos', 'vehicl', 'industri', 'avoid', 'danger', 'imposs', 'engin', 'approach']","@ElectrekCo @FredericLambert For Autopilot users? Of course if it has AP that would be unconscionable --- Tesla is exposing Autonomous Vehicle Industry’s avoidably Dangerous and Impossible Engineering Approach
https://t.co/Zp2R3h6Dnt",user cours ap would unconscion expos vehicl industri avoid danger imposs engin approach,-0.998,"['For Autopilot users?', 'Of course if it has AP that would be unconscionable --- Tesla is exposing Autonomous Vehicle Industry’s avoidably Dangerous and Impossible Engineering Approach']","[-0.999, -0.998]"
2391,2391,2.0,0.3851,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['slash', 'price', 'full', 'selfdriv', 'packag', 'china', 'smartciti', 'ai', 'iot', 'robot', 'tech', '5g', 'driverless', 'electricvehicl', 'selfdrivingcar', 'startup', 'technolog', 'driverlesscar', 'robot', 'startup', 'transport', 'mobil', 'travel']","#Tesla slashes price of full #selfdriving Autopilot package in #China

https://t.co/vxa4jketur
#autonomous #SmartCity #AI #IoT #Robotics #tech #5G #driverless #ElectricVehicles #SelfDrivingCars #startup #technology #DriverlessCars #Robots #startups #transport #mobility #Travel",slash price full selfdriv packag china smartciti ai iot robot tech 5g driverless electricvehicl selfdrivingcar startup technolog driverlesscar robot startup transport mobil travel,-0.999,['Tesla slashes price of full selfdriving Autopilot package in China autonomous SmartCity AI IoT Robotics tech 5G driverless ElectricVehicles SelfDrivingCars startup technology DriverlessCars Robots startups transport mobility Travel'],[-0.999]
2392,2392,3.0,0.2414,"drive, full, level, 2, musk, elon, year, call, 5, claim","['neuron', 'brain', '3', '0', 'total', 'drive', 'hybrid', 'electr']","This is the neuronal brain of Tesla Autopilot 3.0 for total autonomous driving - Hybrid and Electric
https://t.co/f82981PglA",neuron brain 3 0 total drive hybrid electr,1.0,['This is the neuronal brain of Tesla Autopilot 3.0 for total autonomous driving - Hybrid and Electric'],[1.0]
2393,2393,0.0,0.2239,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['tell', 'mlm', 'mean', 'also', 'care', 'true', 'drive', 'never', 'achiev', 'everi', 'advanc', 'current', 'advanc', 'safeti', 'driver', 'everyon', 'els', 'road', 'mine', 'protect', 'like', 'collis']","@JimneyCredit You’ll have to tell me what MLM means. Also, I don’t care of true autonomous driving is never achieved by Tesla, every advancement in their current autopilot is an advancement in safety for Tesla drivers and everyone else on the road. Mine protected me from a likely collision.",tell mlm mean also care true drive never achiev everi advanc current advanc safeti driver everyon els road mine protect like collis,0.422,"['You’ll have to tell me what MLM means.', 'Also, I don’t care of true autonomous driving is never achieved by Tesla, every advancement in their current autopilot is an advancement in safety for Tesla drivers and everyone else on the road.', 'Mine protected me from a likely collision.']","[0.994, -0.717, 0.989]"
2394,2394,3.0,0.2488,"drive, full, level, 2, musk, elon, year, call, 5, claim","['right', 'today', 'sent', 'invit', 'sale', 'fremont', 'deliveri', 'center', 'actual', 'say', 'full', 'drive', 'think', 'govern', 'need', 'dont', 'respect', 'usa', 'part', 'pos', 'ceo', 'teslamodel3']","Tesla right now, today sent out an invitation for a sale at the Fremont delivery center. They actually say Full Autonomous Drive and Autopilot. I think our government needs a ""I DONT RESPECT THE USA, ANY PART OF IT"" from Tesla's POS CEO.
@elonmusk @DisruptResearch #TeslaModel3",right today sent invit sale fremont deliveri center actual say full drive think govern need dont respect usa part pos ceo teslamodel3,-0.309,"['Tesla right now, today sent out an invitation for a sale at the Fremont delivery center.', 'They actually say Full Autonomous Drive and Autopilot.', 'I think our government needs a ""I DONT RESPECT THE USA, ANY PART OF IT"" from Tesla\'s POS CEO.']","[-0.555, 0.628, -1.0]"
2395,2395,4.0,0.2363,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['car', 'technolog', 'gain', 'wide', 'accept', 'marketplac', 'incid', 'need', 'happen', 'trust', 'valu', 'news', 'tech', 'car']","Before autonomous car technology can gain wide acceptance in the marketplace, incidents such as this need to not happen.

An autopilot that can't be trusted has no value.
 https://t.co/IcipJ66Hs0

#news #tech #cars #Tesla",car technolog gain wide accept marketplac incid need happen trust valu news tech car,-0.998,"['Before autonomous car technology can gain wide acceptance in the marketplace, incidents such as this need to not happen.', ""An autopilot that can't be trusted has no value.""]","[-0.996, -1.0]"
2396,2396,4.0,0.3238,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['cheapest', 'model', 'would', 'cost', 'north', '50', 'lac', 'india', 'would', 'extrem', 'difficult', 'vehicl', 'indian', 'road', 'would', 'total', 'useless', 'import', 'render', '30', 'lac', 'peopl', 'unemploy']",The cheapest model would cost north of 50 lacs in India and as of now it would be extremely difficult for autonomous vehicles on Indian roads. Tesla's Autopilot would be totally useless here. And most importantly this will render more than 30 lacs people as unemployed.,cheapest model would cost north 50 lac india would extrem difficult vehicl indian road would total useless import render 30 lac peopl unemploy,-0.997,"['The cheapest model would cost north of 50 lacs in India and as of now it would be extremely difficult for autonomous vehicles on Indian roads.', ""Tesla's Autopilot would be totally useless here."", 'And most importantly this will render more than 30 lacs people as unemployed.']","[-0.996, -0.999, -0.996]"
2397,2397,2.0,0.3138,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['ntsb', 'investig', 'shown', 'educ', 'consum', 'capabl', 'limit', 'fwd', 'collis', 'avoid', 'system', 'critic', 'recent', 'investig', 'determin', 'driver', 'overreli', 'autom', 'led', 'fatal', 'may', '2016', 'crash', 'williston', 'fl']","NTSB investigations have shown that educating consumers on the capabilities and limits of fwd collision avoid. systems is critical. A recent investigation determined the driver’s overreliance on automation led to the fatal May 2016 crash in Williston, FL. https://t.co/D6yQv1pINP https://t.co/5jt5K1a7Jd",ntsb investig shown educ consum capabl limit fwd collis avoid system critic recent investig determin driver overreli autom led fatal may 2016 crash williston fl,0.17,"['NTSB investigations have shown that educating consumers on the capabilities and limits of fwd collision avoid.', 'systems is critical.', 'A recent investigation determined the driver’s overreliance on automation led to the fatal May 2016 crash in Williston, FL.']","[0.509, 0.978, -0.977]"
2398,2398,2.0,0.2137,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['car', 'best', 'driverless', 'featur', 'wheelscen', 'wheelsceneauto', 'audi', 'volvo', 'cadillac', 'nissan', 'propilot', 'supercruis', 'selfdriv', 'selfdrivingcar', 'anotonmouscar', 'autonomouscar']","These Cars Have The Best Driverless Features!

#WheelScene #WheelSceneAuto #Audi #Volvo #Tesla #Cadillac #Nissan #AutoPilot #ProPilot #SuperCruise #SelfDriving #SelfDrivingCars #Autonomous #AnotonmousCar #AutonomousCars

https://t.co/Rbx8xtntfr",car best driverless featur wheelscen wheelsceneauto audi volvo cadillac nissan propilot supercruis selfdriv selfdrivingcar anotonmouscar autonomouscar,1.0,['These Cars Have The Best Driverless Features!'],[1.0]
2399,2399,0.0,0.2239,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['requir', 'human', 'monitor', 'system', 'time', 'fsd', 'level', '5', 'base', 'current', 'progress', 'want', 'releas', 'level', '3', 'best', 'sure', 'get', 'human', 'part']","@Techgnostik @TacoNuclear @Captsully @washingtonpost ""Autopilot"" requires humans to monitor the system at all times. Tesla's FSD will not be level 5 autonomous. Based on their current progress and when they want to release it, it will be level 3 at best. Not sure where you're getting the no humans part.",requir human monitor system time fsd level 5 base current progress want releas level 3 best sure get human part,-0.917,"['""Autopilot"" requires humans to monitor the system at all times.', ""Tesla's FSD will not be level 5 autonomous."", 'Based on their current progress and when they want to release it, it will be level 3 at best.', ""Not sure where you're getting the no humans part.""]","[-0.674, -0.999, -0.997, -0.999]"
2400,2400,1.0,0.2269,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['good', 'round', 'recent', 'vehicl', 'news', 'lyft', 'releas', 'data', 'set', 'public', 'soon', 'releas', 'v10', 'gm', 'acquisit', 'cruis', 'audi', 'partner', 'luminar', 'waymo', 'deepmind', 'research', 'partnership', 'via']","Good round up of recent #autonomous vehicle news:

Lyft releases data set to public
Tesla to soon release Autopilot V10
GM acquisition of Cruise
Audi partners with Luminar
Waymo and Deepmind research partnership
and more. 

https://t.co/tbjpyuPSiN via @Analyticsindiam",good round recent vehicl news lyft releas data set public soon releas v10 gm acquisit cruis audi partner luminar waymo deepmind research partnership via,0.986,['Good round up of recent autonomous vehicle news: Lyft releases data set to public Tesla to soon release Autopilot V10 GM acquisition of Cruise Audi partners with Luminar Waymo and Deepmind research partnership and more. via'],[0.986]
2401,2401,2.0,0.2568,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['safeti', 'group', 'want', 'ftc', 'state', 'probe', 'system', 'market', 'effort', 'two', 'consum', 'safeti', 'group', 'call', 'feder', 'state', 'investig', 'semi', 'technolog', 'wake', 'sever', 'fatal', 'crash', 'link', 'system', 'earlier']","Safety groups want FTC, state probes of Tesla's Autopilot system–and its marketing efforts Two consumer safety groups are calling for federal and state investigations of Tesla's semi-autonomous technology in the wake of several fatal crashes linked to the system earlier this…",safeti group want ftc state probe system market effort two consum safeti group call feder state investig semi technolog wake sever fatal crash link system earlier,-0.587,"[""Safety groups want FTC, state probes of Tesla's Autopilot system–and its marketing efforts Two consumer safety groups are calling for federal and state investigations of Tesla's semi-autonomous technology in the wake of several fatal crashes linked to the system earlier this…""]",[-0.587]
2402,2402,2.0,0.219,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['consum', 'group', 'call', 'ftc', 'investig', 'center', 'auto', 'safeti', 'accus', 'make', 'owner', 'believ', 'vehicl', 'capabl', 'self', 'drive', 'read', 'car', 'auto', 'automot']",Consumer groups call for FTC investigation into Tesla’s Autopilot: The Center for Auto Safety accused Tesla of “making their owners believe that a Tesla with ‘Autopilot’ is an autonomous vehicle capable of self-driving.” Read… https://t.co/Gb3AFfBDhh #Cars #Autos #Automotive,consum group call ftc investig center auto safeti accus make owner believ vehicl capabl self drive read car auto automot,-0.071,"['Consumer groups call for FTC investigation into Tesla’s Autopilot: The Center for Auto Safety accused Tesla of “making their owners believe that a Tesla with ‘Autopilot’ is an autonomous vehicle capable of self-driving.”', 'Read… Cars Autos Automotive']","[-0.999, 0.858]"
2403,2403,2.0,0.2261,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['mandat', 'activ', 'safeti', 'like', 'collis', 'avoid', 'lvl3', 'drive', 'like']",@LaTrioli why not mandate active safety like collision avoidance/lvl3 autonomous driving like @Tesla  autopilot?,mandat activ safeti like collis avoid lvl3 drive like,-0.617,['why not mandate active safety like collision avoidance/lvl3 autonomous driving like autopilot?'],[-0.617]
2404,2404,1.0,0.2182,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['consum', 'group', 'push', 'probe', 'market']",Consumer groups push for probe into Tesla’s Autopilot marketing https://t.co/ioRgE5kNL9 https://t.co/v24UvzGyE9,consum group push probe market,-0.683,['Consumer groups push for probe into Tesla’s Autopilot marketing'],[-0.683]
2405,2405,2.0,0.2451,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['robotaxi', 'use', 'futur', 'explain', 'funni', 'sketch', 'escap', 'heist', 'robotaxi', 'watch', 'model', 'selfdrivingcar', 'model3', 'teslamodel3']","How an #autonomous #Tesla #Robotaxi can be of use in the future, explained in a #funny sketch. Can you escape a #heist in a Robotaxi? watch...
#ModelS #SelfDrivingCars #Autopilot #Model3 #TeslaModel3
https://t.co/lxJjQAmHr5",robotaxi use futur explain funni sketch escap heist robotaxi watch model selfdrivingcar model3 teslamodel3,0.317,"['How an autonomous Tesla Robotaxi can be of use in the future, explained in a funny sketch.', 'Can you escape a heist in a Robotaxi?', 'watch...']","[0.969, -0.997, 0.979]"
2406,2406,1.0,0.2284,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['function', 'driver', 'quit', 'nice', 'problem', 'may', 'occur', 'road', 'follow', 'intern', 'design', 'standard', 'bad', 'design', 'road', 'would', 'also', 'confus', 'hu', 'man', 'alreadi', 'drive', 'better', 'american', 'car', 'owner']","@BreitbartNews The @Tesla Autopilot does function as an autonomous driver quite nicely.  A problem may occur on roads that don't follow the international design standards, but such a badly-designed road would also confuse a hu-man.  Autopilot already drives better than most American car owners.",function driver quit nice problem may occur road follow intern design standard bad design road would also confus hu man alreadi drive better american car owner,0.332,"['The Autopilot does function as an autonomous driver quite nicely.', ""A problem may occur on roads that don't follow the international design standards, but such a badly-designed road would also confuse a hu-man."", 'Autopilot already drives better than most American car owners.']","[0.996, -1.0, 0.999]"
2407,2407,0.0,0.2623,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['pleas', 'camera', 'mode', 'see', 'around', 'vehicl', 'want', 'scratch', 'dent', 'ding', 'miss', 'gidget', 'know', 'need', 'fulli', 'full']","@elonmusk @tesla can we please have a camera mode where we can see all around the vehicle... I don’t want to scratch, dent or ding Miss Gidget! I know it won’t be need if it’s fully autonomous but I don’t have the full autopilot!! 🤞🏼",pleas camera mode see around vehicl want scratch dent ding miss gidget know need fulli full,-0.34,"['can we please have a camera mode where we can see all around the vehicle...', 'I don’t want to scratch, dent or ding Miss Gidget!', 'I know it won’t be need if it’s fully autonomous but I don’t have the full autopilot!!', '🤞🏼']","[-0.59, 0.988, -0.996, -0.761]"
2408,2408,0.0,0.2812,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['rent', 'speed', 'ran', 'red', 'light', 'kill', 'man', 'critic', 'injur', 'wife', 'semi', 'mode', 'polic', 'said', 'wednesday']","A rented Tesla that was speeding when it ran a red light and killed a man and critically injured his wife was not on semi-autonomous Autopilot mode, police said Wednesday. https://t.co/YH7xYbg39l",rent speed ran red light kill man critic injur wife semi mode polic said wednesday,-0.998,"['A rented Tesla that was speeding when it ran a red light and killed a man and critically injured his wife was not on semi-autonomous Autopilot mode, police said Wednesday.']",[-0.998]
2409,2409,0.0,0.254,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['rent', 'speed', 'ran', 'red', 'light', 'kill', 'benjamin', 'dean', 'clovi', 'semi', 'mode', 'polic', 'said', 'wednesday']","A rented #Tesla that was speeding when it ran a red light and killed Benjamin Dean of #Clovis was not on semi-autonomous Autopilot mode, police said Wednesday.
https://t.co/Fwj2L8gq6D",rent speed ran red light kill benjamin dean clovi semi mode polic said wednesday,-0.999,"['A rented Tesla that was speeding when it ran a red light and killed Benjamin Dean of Clovis was not on semi-autonomous Autopilot mode, police said Wednesday.']",[-0.999]
